"id","tyc","gaia","hyg","hip","hd","hr","gl","bayer","flam","con","proper","ra","dec","pos_src","dist","x0","y0","z0","dist_src","mag","absmag","ci","mag_src","rv","rv_src","pm_ra","pm_dec","pm_src","vx","vy","vz","spect","spect_src"
"2151854","3945-1798-1","2186410658887682432","99336","99655","192696","7740","","","33","Cyg","","20.22329633","56.56772172","T","46.8187","14.181","-21.547","39.072","G_R3","4.28","0.928","0.114","HIP","-18.0","HYG","61.754","81.428","G_R3","-2.294","28.417","-5.065","A3IV,V","T"
"2154001","2167-1352-1","1837238235869960448","99419","99738","192518","7731","","","21","Vul","","20.23736927","28.69481596","T","95.8759","46.493","-70.082","46.034","G_R3","5.19","0.281","0.191","HIP","7.0","HYG","12.541","-19.117","G_R3","10.45","-5.442","-4.261","A 7 IVN","T"
"2154085","1618-2331-1","1808282768947879808","99423","99742","192425","7724","","Rho","67","Aql","","20.23794968","15.19760993","T","47.8346","25.525","-38.463","12.54","G_R3","4.94","1.541","0.072","HIP","-33.211","G_R3","55.446","57.339","G_R3","-9.13","36.496","3.841","A2V","T"
"2154705","2683-3962-1","2060523518197844608","99451","99770","192640","7736","","","29","Cyg","","20.24223126","36.80630735","T","40.7404","18.067","-27.159","24.408","G_R3","4.93","1.88","0.151","HIP","-20.522","G_R3","68.09","69.404","G_R3","-2.6","27.651","-1.563","A0V","T"
"2156521","2159-2068-1","1835335977682835200","99505","99824","192685","7739","","","","Vul","","20.25441518","25.59194889","T","175.6913","88.1851","-131.6485","75.8917","G_R3","4.79","-1.434","-0.181","HIP","-7.0","HYG","7.086","-5.432","G_R3","2.477","6.906","-7.104","B3V","T"
"2157062","3576-2157-1","2084154943646648320","99529","99848","192909","7751","","","32","Cyg","","20.25786656","47.71421473","T","307.1442","115.1656","-171.591","227.2245","G_R3","3.96","-3.477","1.451","HIP","-14.0","HYG","0.18","-2.319","G_R3","-3.64","5.893","-12.629","K3IB-II","T"
"2157813","2163-1794-1","1836958616324554752","99554","99874","192806","7744","","","23","Vul","","20.26281494","27.81424753","T","100.3593","49.562","-73.6394","46.8279","G_R3","4.5","-0.508","1.258","HIP","3.0","HYG","-39.938","12.121","G_R3","-15.784","-10.578","6.5","K3III","T"
"2157149","2155-2337-1","1830575779527121664","99534","99853","192713","7741","","","22","Vul","","20.25839956","23.50890841","T","457.2133","233.696","-348.092","182.379","G_R3","5.18","-3.121","1.016","HIP","-27.022","G_R3","2.852","-7.278","G_R3","-5.173","18.795","-25.243","G2IB","T"
"2160477","2159-2069-1","1832206046035389696","99631","99951","192944","7753","","","24","Vul","","20.27974632","24.6710989","T","125.47","64.081","-94.305","52.372","G_R3","5.3","-0.193","0.951","HIP","14.815","G_R3","15.128","-17.015","G_R3","17.383","-9.572","-3.013","G8III","T"
"2162591","5748-2598-1","6880097807842527232","99706","100027","192876","7747","","Alp-1","5","Cap","","20.29413034","-12.50821473","T","249.0215","137.392","-200.566","-53.933","G_R3","4.3","-2.681","0.928","HIP","-25.819","G_R3","21.709","1.643","G_R3","7.134","34.931","7.485","G3 IB","T"
